step,layer,gamma_mag,beta_mag,gamma_var_tokens,beta_var_tokens,val_loss,ppl
1000,0,0.999283,0.000761,0.0,0.0,7.773,2375.68
1000,1,1.000261,0.001592,1e-06,1e-06,7.773,2375.68
1000,2,1.000458,0.002216,2e-06,2e-06,7.773,2375.68
1000,3,1.000669,0.002011,3e-06,3e-06,7.773,2375.68
1000,4,1.000947,0.002004,3e-06,3e-06,7.773,2375.68
1000,5,1.00113,0.002326,4e-06,4e-06,7.773,2375.68
1000,6,1.001332,0.00284,6e-06,5e-06,7.773,2375.68
1000,7,1.001378,0.003908,1.2e-05,1.2e-05,7.773,2375.68
1000,8,1.001762,0.004575,2.6e-05,2.7e-05,7.773,2375.68
1000,9,1.001343,0.002981,6e-06,6e-06,7.773,2375.68
1000,10,1.001481,0.003479,4e-06,4e-06,7.773,2375.68
1000,11,1.001508,0.004281,4e-06,4e-06,7.773,2375.68
2000,0,0.997199,0.003481,2e-06,2e-06,7.2811,1452.55
2000,1,1.005105,0.006318,7.8e-05,4.9e-05,7.2811,1452.55
2000,2,1.008177,0.011204,0.000191,0.000122,7.2811,1452.55
2000,3,1.013966,0.02767,0.002218,0.00153,7.2811,1452.55
2000,4,1.044077,0.064184,0.014932,0.007853,7.2811,1452.55
2000,5,1.042456,0.065782,0.018665,0.008753,7.2811,1452.55
2000,6,1.025965,0.053498,0.005752,0.00391,7.2811,1452.55
2000,7,1.034748,0.035939,0.001321,0.000844,7.2811,1452.55
2000,8,1.116676,0.057443,0.002309,0.000834,7.2811,1452.55
2000,9,1.04062,0.021338,0.001784,0.000453,7.2811,1452.55
2000,10,1.011393,0.013202,0.000198,0.000158,7.2811,1452.55
2000,11,1.015289,0.011653,3.5e-05,2.4e-05,7.2811,1452.55
3000,0,0.99177,0.009634,1.7e-05,9e-06,6.7846,884.1
3000,1,1.033358,0.019566,0.001424,0.000454,6.7846,884.1
3000,2,1.082237,0.051005,0.007745,0.002373,6.7846,884.1
3000,3,1.048391,0.074768,0.027122,0.012994,6.7846,884.1
3000,4,1.048984,0.093576,0.058162,0.021441,6.7846,884.1
3000,5,1.051983,0.089051,0.04095,0.013479,6.7846,884.1
3000,6,1.065916,0.096868,0.024932,0.013089,6.7846,884.1
3000,7,1.451159,0.172846,0.028978,0.009011,6.7846,884.1
3000,8,1.84153,0.299142,0.063557,0.010633,6.7846,884.1
3000,9,1.768336,0.24804,0.067565,0.00858,6.7846,884.1
3000,10,1.517512,0.225753,0.018549,0.004315,6.7846,884.1
3000,11,1.299493,0.145541,0.005113,0.00132,6.7846,884.1
4000,0,0.981473,0.019527,4.9e-05,2.3e-05,6.2285,507.0
4000,1,1.094267,0.039945,0.00688,0.00146,6.2285,507.0
4000,2,1.185755,0.0951,0.017233,0.004319,6.2285,507.0
4000,3,1.09021,0.109922,0.051758,0.025574,6.2285,507.0
4000,4,1.063559,0.085919,0.06373,0.019165,6.2285,507.0
4000,5,1.051368,0.107765,0.072907,0.020258,6.2285,507.0
4000,6,1.162386,0.166315,0.046326,0.025573,6.2285,507.0
4000,7,1.562811,0.256152,0.070517,0.023272,6.2285,507.0
4000,8,1.858046,0.350953,0.142415,0.027589,6.2285,507.0
4000,9,1.989635,0.349754,0.131235,0.019025,6.2285,507.0
4000,10,1.769658,0.344141,0.070374,0.015538,6.2285,507.0
4000,11,1.677613,0.347428,0.013834,0.003727,6.2285,507.0
5000,0,0.967865,0.029634,9.3e-05,4.3e-05,5.7403,311.15
5000,1,1.139333,0.056243,0.010052,0.001858,5.7403,311.15
5000,2,1.215073,0.116279,0.023461,0.006187,5.7403,311.15
5000,3,1.116168,0.13429,0.057922,0.033558,5.7403,311.15
5000,4,1.099756,0.096661,0.061762,0.017855,5.7403,311.15
5000,5,1.058046,0.114377,0.055635,0.019771,5.7403,311.15
5000,6,1.156225,0.178626,0.048667,0.029641,5.7403,311.15
5000,7,1.360632,0.217267,0.085861,0.033994,5.7403,311.15
5000,8,1.781608,0.365256,0.244549,0.052526,5.7403,311.15
5000,9,1.979399,0.367391,0.201278,0.032086,5.7403,311.15
5000,10,2.027181,0.473383,0.143645,0.034198,5.7403,311.15
5000,11,1.903894,0.487788,0.030056,0.009514,5.7403,311.15
6000,0,0.955522,0.038342,0.000168,7.8e-05,5.4982,244.25
6000,1,1.165231,0.070753,0.011232,0.002158,5.4982,244.25
6000,2,1.242605,0.143182,0.027433,0.008065,5.4982,244.25
6000,3,1.16146,0.163605,0.061915,0.038874,5.4982,244.25
6000,4,1.080502,0.096927,0.058529,0.017286,5.4982,244.25
6000,5,1.090387,0.128927,0.063625,0.022545,5.4982,244.25
6000,6,1.178672,0.199418,0.048245,0.032807,5.4982,244.25
6000,7,1.309658,0.215735,0.079433,0.037651,5.4982,244.25
6000,8,1.677977,0.35321,0.263488,0.061716,5.4982,244.25
6000,9,1.806315,0.316692,0.201188,0.035192,5.4982,244.25
6000,10,1.884112,0.414162,0.205732,0.050555,5.4982,244.25
6000,11,1.862203,0.482819,0.084563,0.030709,5.4982,244.25
7000,0,0.944652,0.049106,0.000201,0.000102,5.3058,201.5
7000,1,1.180805,0.082674,0.010132,0.002209,5.3058,201.5
7000,2,1.242706,0.146926,0.025127,0.00769,5.3058,201.5
7000,3,1.184387,0.149708,0.050518,0.029701,5.3058,201.5
7000,4,1.109753,0.104982,0.051723,0.016781,5.3058,201.5
7000,5,1.082577,0.12696,0.042663,0.020905,5.3058,201.5
7000,6,1.213094,0.234152,0.053138,0.037706,5.3058,201.5
7000,7,1.330753,0.246806,0.085127,0.044176,5.3058,201.5
7000,8,1.629412,0.347582,0.227733,0.055849,5.3058,201.5
7000,9,1.944442,0.383127,0.17328,0.032929,5.3058,201.5
7000,10,1.874069,0.41329,0.228095,0.058103,5.3058,201.5
7000,11,2.023379,0.587572,0.115719,0.046909,5.3058,201.5
8000,0,0.938979,0.057375,0.00023,0.000121,5.2001,181.29
8000,1,1.19461,0.093321,0.014487,0.003105,5.2001,181.29
8000,2,1.25565,0.163829,0.03032,0.009818,5.2001,181.29
8000,3,1.210903,0.178625,0.050265,0.032902,5.2001,181.29
8000,4,1.149219,0.127844,0.067123,0.020361,5.2001,181.29
8000,5,1.10295,0.143119,0.049786,0.026034,5.2001,181.29
8000,6,1.252122,0.259016,0.055731,0.042512,5.2001,181.29
8000,7,1.304577,0.24758,0.077354,0.044942,5.2001,181.29
